00:01:26 |j| Slork
00:02:20 |l| Slork
00:07:42 |j|~Ransei
14:10:22 |html|<div class="infobox"><b>Stats</b>: 77/127/79/64/65/64<br /><b>BST</b>:476<br /><b>Type:</b> Grass/Fighting<br /><b>Abilities</b>: Effect Spore/Poison Heal/Technician + Iron Fist<br /><b>Weight</b>: 87.6 kg</div>
14:10:26 |c|$TimeZone|!Data nincade
14:10:26 No Pokémon, item, move, ability or nature named 'nincade' was found. Showing the data of 'Nincada' instead.
|c|~|/data-pokemon Nincada

14:10:26 |c|#Snaquaza|!dt Storm Throw
14:10:26 |c|~|/data-move Storm Throw
|raw|<font size="1"><font color="#686868">Priority:</font> 0&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 5&nbsp;|&ThickSpace;&#10003; Contact&nbsp;|&ThickSpace;<font color="#686868">Z-Power:</font> 120&nbsp;|&ThickSpace;<font color="#686868">Target:</font> One Adjacent Pokémon</font>
14:10:29 |c|$TimeZone|O.o
14:10:31 |c|$TimeZone|That's a poke
14:10:33 |c|$TimeZone|lol
14:10:34 |c|+Flurbel|yeah
14:10:37 |c|#Snaquaza|60*1.5*.15 = 135 BP Fighting type move
14:10:41 |c|+Flurbel|know your Pam man
14:10:41 |c|#Snaquaza|with 100% acc and no downsides
14:10:42 |c|+Flurbel|pkm
14:10:45 |c|$TimeZone|thought it was something from Naruto 
14:10:48 |c|+Flurbel|lol
14:11:15 |c|$TimeZone|oh shit snaq
14:11:18 |c|+Flurbel|snaq
14:11:21 |c|$TimeZone|only prob is speed tbh
14:11:23 |c|$TimeZone|Scarf ?
14:11:26 |c|+Flurbel|!fuse froslass, roserade
14:11:26 |html|<div class="infobox"><b>Stats</b>: 65/75/67/102/87/100<br /><b>BST</b>:496<br /><b>Type:</b> Ice/Grass<br /><b>Abilities</b>: Snow Cloak/Cursed Body + Natural Cure<br /><b>Weight</b>: 20.55 kg</div>
14:11:30 |c|+Flurbel|nevermind
14:11:38 |c|+Flurbel|!fuse roserade, froslass
14:11:38 |html|<div class="infobox"><b>Stats</b>: 65/75/67/102/87/100<br /><b>BST</b>:496<br /><b>Type:</b> Grass/Ice<br /><b>Abilities</b>: Natural Cure/Poison Point/Technician + Snow Cloak<br /><b>Weight</b>: 20.55 kg</div>
14:11:39 |c|+Flurbel|this
14:11:43 |c|#Snaquaza|tbh I just ran Mach Punch w/ it
14:11:46 |c|+Flurbel|frost breath
14:11:48 |c|$TimeZone|lol
14:11:53 |c|+Flurbel|135 bp
14:11:54 |c|+Flurbel|2
14:11:55 |c|#Snaquaza|yh but Grass Ice is a bad typing :c
14:12:01 |c|+Flurbel|than run poison
14:12:04 |c|+Flurbel|ice poison
14:12:08 |c|#Snaquaza|you can't
14:12:12 |c|#Snaquaza|you can only switch Froslass' types
14:12:17 |c|+Flurbel|sorry 
14:12:20 |c|+Flurbel|meant ghost
14:12:23 |c|$TimeZone|!Fuse Latias, Arceus-Poison
14:12:23 |html|<div class="infobox"><b>Stats</b>: 100/100/105/115/125/115<br /><b>BST</b>:660<br /><b>Type:</b> Dragon/Poison<br /><b>Abilities</b>: Levitate + Multitype<br /><b>Weight</b>: 180 kg</div>
14:12:26 |c|#Snaquaza|but then you dont get STAB :s
14:12:27 |c|$TimeZone|oh duh
14:12:30 |c|+Flurbel|yeah
14:12:30 |c|$TimeZone|Same stats 
14:12:32 |c|$TimeZone|smh
14:12:50 |c|#Snaquaza|!fuse Latias, Arceus-Electric
14:12:50 |html|<div class="infobox"><b>Stats</b>: 100/100/105/115/125/115<br /><b>BST</b>:660<br /><b>Type:</b> Dragon/Electric<br /><b>Abilities</b>: Levitate + Multitype<br /><b>Weight</b>: 180 kg</div>
14:12:54 |c|$TimeZone|Stall in Ubers is hard 
14:12:57 |c|$TimeZone|;)
14:13:03 |c|#Snaquaza|nah
14:13:06 |c|#Snaquaza|just run Shedinja
14:13:08 |c|#Snaquaza|and you'll stall everything
14:13:34 |c|$TimeZone|!Fuse Xerneas, Lunala, Shiny 
14:13:34 |html|<div class="infobox"><b>Stats</b>: 131/122/92/134/102/98<br /><b>BST</b>:679<br /><b>Type:</b> Fairy/Ghost<br /><b>Abilities</b>: Fairy Aura + Shadow Shield<br /><b>Weight</b>: 167.5 kg</div>
14:13:38 |c|$TimeZone|Omo
14:14:17 |c|#Snaquaza|btw for unaware walls
14:14:20 |c|#Snaquaza|!dt pyukumuku
14:14:20 |c|~|/data-pokemon Pyukumuku
|raw|<font size="1"><font color="#686868">Dex#:</font> 771&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 7&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 0.3 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 1.2 kg <em>(20 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Black&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Water 1&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
14:14:23 |c|$TimeZone|Moongiest + Sunsteel exust lol
14:14:25 |c|$TimeZone|Exist *
14:14:26 |c|#Snaquaza|is bulkier than Quag
14:14:33 |c|#Snaquaza|yeah but you just gotta find a type that resists those
14:14:35 |c|$TimeZone|and clefable ?
14:14:48 |c|$TimeZone|water/Normal?
14:14:53 |c|$TimeZone|Lmao
14:14:58 |c|#Snaquaza|no I mean
14:15:01 |c|#Snaquaza|on the rest of your team lol
14:15:09 |c|$TimeZone|ah
14:15:09 |c|#Snaquaza|and I think it's bulkier than Clef, but its main competitor is Quag anyway
14:15:13 |c|#Snaquaza|and it's 100% better tbh
14:15:14 |c|$TimeZone|ah
14:15:19 |c|#Snaquaza|unless you want offensive presence
14:15:23 |c|$TimeZone|eh
14:15:24 |c|#Snaquaza|it gets recovery as well
14:15:27 |c|#Snaquaza|and Unaware
14:15:32 |c|$TimeZone|Not important to stall but yes 
14:15:43 |c|$TimeZone|more offense I mean
14:16:43 |c|+Flurbel|!fuse pyukumuku, zygarde, shiny
14:16:43 |html|<div class="infobox"><b>Stats</b>: 81/80/125/55/112/50<br /><b>BST</b>:503<br /><b>Type:</b> Water/Ground<br /><b>Abilities</b>: Innards Out/Unaware + Aura Break<br /><b>Weight</b>: 153.1 kg</div>
14:16:52 |c|+Flurbel|i likt this as coil setter
14:17:07 |c|+Flurbel|and can run baton pass
14:17:27 |c|$TimeZone|!Fuse Pyukumuku, Blissey
14:17:27 |html|<div class="infobox"><b>Stats</b>: 155/35/70/52/132/30<br /><b>BST</b>:474<br /><b>Type:</b> Water/Normal<br /><b>Abilities</b>: Innards Out/Unaware + Natural Cure<br /><b>Weight</b>: 24 kg</div>
14:17:32 |c|$TimeZone|O.o
14:17:38 |c|+Flurbel|that def
14:17:42 |userstats|total:12|guests:2| :5|+:2|$:1|%:1|@:0|*:2|★:0|#:1|&:0|~:0|⚔:0
14:18:06 |c|+Flurbel|you can run defense curl
14:18:12 |c|$TimeZone|rof
14:18:19 |c|$TimeZone|Or find something else hmm 
14:18:28 |c|+Flurbel|true
14:18:47 |c|$TimeZone|!Fuse Pyukumuku, Giratina
14:18:47 |html|<div class="infobox"><b>Stats</b>: 102/80/125/65/125/47<br /><b>BST</b>:544<br /><b>Type:</b> Water/Ghost<br /><b>Abilities</b>: Innards Out/Unaware + Pressure<br /><b>Weight</b>: 375.6 kg</div>
14:19:00 |c|$TimeZone|dunno bout this one either Omo
14:19:02 |c|+Flurbel|with dragon better typing?
14:19:08 |c|+Flurbel|looks bulky
14:19:10 |c|+Flurbel|and wilo
14:19:21 |c|$TimeZone|!Weak Water, Dragon
14:19:21 |html|<div class="infobox">Water/Dragon:<br /><span class="message-effect-weak">Weaknesses</span>: Dragon, Fairy<br /><span class="message-effect-resist">Resistances</span>: <b>Fire</b>, Steel, <b>Water</b><br /><span class="message-effect-immune">Immunities</span>: <font color=#999999>None</font></div>
14:19:24 |c|$TimeZone|Lol
14:19:36 |c|+Flurbel|!weak water, ghost
14:19:36 |html|<div class="infobox">Water/Ghost:<br /><span class="message-effect-weak">Weaknesses</span>: Dark, Electric, Ghost, Grass<br /><span class="message-effect-resist">Resistances</span>: Bug, Fire, Ice, Poison, Steel, Water<br /><span class="message-effect-immune">Immunities</span>: Fighting, Normal</div>
14:19:37 |c|$TimeZone|Less weaknesses and Less Resistance 
14:19:41 |c|+Flurbel|yeah
14:19:45 |c|+Flurbel|it is wat you want
14:19:48 |c|$TimeZone|^
14:19:50 |c|$TimeZone|hm
14:20:21 |c|+Flurbel|!fuse alakazam, reshiram, shiny
14:20:21 |html|<div class="infobox"><b>Stats</b>: 77/85/72/142/107/105<br /><b>BST</b>:588<br /><b>Type:</b> Psychic/Fire<br /><b>Abilities</b>: Synchronize/Inner Focus/Magic Guard + Turboblaze<br /><b>Weight</b>: 189 kg</div>
14:20:25 |c|+Flurbel|with z-sunny day
14:20:31 |c|+Flurbel|power
14:20:43 |c|+Flurbel|or just life orb
14:21:34 |c|$TimeZone|Oh god Lunala is awful on Pyukumuku lmao 
14:21:44 |c|+Flurbel|lol
14:21:44 |c|$TimeZone|looks*
14:22:50 |c|+Flurbel|!fuse lucario-mega, landorus-therian
14:22:50 |html|<div class="infobox"><b>Stats</b>: 79/145/89/122/75/101<br /><b>BST</b>:611<br /><b>Type:</b> Fighting/Ground<br /><b>Abilities</b>: Adaptability + Intimidate<br /><b>Weight</b>: 62.75 kg</div>
14:22:52 |c|+Flurbel|hmm
14:23:27 |c|$TimeZone|looks intense 
14:24:11 |c|$TimeZone|Ooh
14:24:14 |c|+Flurbel|yeah
14:24:16 |c|$TimeZone|I think I know who to use
14:24:17 |c|+Flurbel|but doesn't work
14:24:23 |c|$TimeZone|Huh
14:24:24 |c|$TimeZone|Lol
14:24:29 |c|$TimeZone|Not that man 
14:24:32 |c|+Flurbel|when mega switch out they get original typinh
14:24:35 |c|+Flurbel|oh lol
14:24:56 |c|$TimeZone|!Fuse Pyukumuku, Nilotic
14:24:56 |html|<div class="message-error">Error: Pokemon not found</div>
14:25:04 |c|$TimeZone|really auto correction 
14:25:07 |c|$TimeZone|really
14:25:09 |c|+Flurbel|nilotiv
14:25:12 |c|+Flurbel|lol
14:25:22 |c|+Flurbel|it is her brother
14:25:28 |c|$TimeZone|!Fuse Pyukumuku, milotic
14:25:28 |html|<div class="infobox"><b>Stats</b>: 75/60/104/65/127/43<br /><b>BST</b>:474<br /><b>Type:</b> Water<br /><b>Abilities</b>: Innards Out/Unaware + Marvel Scale<br /><b>Weight</b>: 81.6 kg</div>
14:25:32 |c|$TimeZone|I bet
14:25:38 |c|+Flurbel|with flame orb
14:25:40 |c|$TimeZone|75hp eeehhhh
14:25:42 |c|$TimeZone|h
14:25:43 |c|$TimeZone|Hmm
14:26:01 |c|$TimeZone|worth a test
14:26:03 |c|$TimeZone|Fuck it
14:26:04 |c|$TimeZone|lol
14:26:23 |c|+Flurbel|wanne test?
14:26:26 |c|+Flurbel|need testing 2
14:26:37 |c|$TimeZone|Oh rip forgot I was using that on gliscor
14:29:36 |c|#Snaquaza|I've used this
14:29:39 |c|#Snaquaza|!fuse Clefable, Magearna
14:29:39 |html|<div class="infobox"><b>Stats</b>: 87/82/94/112/102/62<br /><b>BST</b>:539<br /><b>Type:</b> Fairy/Steel<br /><b>Abilities</b>: Cute Charm/Magic Guard/Unaware + Soul-Heart<br /><b>Weight</b>: 60.25 kg</div>
14:29:43 |c|#Snaquaza|Unaware -> Heart Swap
14:29:49 |c|#Snaquaza|steal their boosts w/o risk
14:35:18 |j|&chari**zard**8888
14:35:24 |c|$TimeZone|damn
14:35:25 |c|$TimeZone|Nice
14:35:40 |c|$TimeZone|forgot Magearna even gets that
14:36:13 |c|&chari**zard**8888|Rawr
14:36:38 |c|+Flurbel|yo charizard
14:36:45 |c|+Flurbel|which country are you from
14:37:01 |c|$TimeZone|Charizard island right behind Disney Land 
14:37:01 |c|&chari**zard**8888|India
14:37:04 |c|$TimeZone|;)
14:37:06 |c|$TimeZone|Or that 
14:37:06 |raw|<div class='chat'><small>&</small><button name='parseCommand' value='/user chari**zard**8888' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#AE830F'>chari**zard**8888:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/xaa.png" title="xaa" width="50" height="50" /></em></div>
14:37:07 |c|+Flurbel|wut
14:37:19 |c|+Flurbel|nevermind then
14:37:25 |c|+Flurbel|had a theory
14:37:29 |c|+Flurbel|but not then
14:37:38 |c|+Flurbel|time zone is from kansas city
14:37:45 |c|+Flurbel|calculted
14:37:50 |c|+Flurbel|calculated
14:37:52 |c|+Flurbel|*
14:37:55 |c|+Flurbel|lol
14:38:07 |c|&chari**zard**8888|lel
14:38:14 |c|$TimeZone|no I'm not btw lol
14:38:16 |c|#Snaquaza|!u zard
14:38:16 |html|<div class="infobox"><b>Zard:</b> An annoying person. Especially one who has little self awareness.</div>
14:38:20 |c|&chari**zard**8888|:[
14:38:25 |c|&chari**zard**8888|~~Try tabbing my name~~
14:38:41 |c|+Flurbel|you are time zone
14:38:48 |c|+Flurbel|dont lie
14:38:57 |c|$TimeZone|0;
14:39:13 |c|#Snaquaza|TimeZone is calculated from Greenwich tbh
14:39:34 |c|&chari**zard**8888|You can't calcul8 TimeZone's location by his TimeZone. He can't be outplayed ;)
14:39:42 |c|$TimeZone|;)
14:39:55 |c|+Flurbel|ik
14:40:07 |c|+Flurbel|i dient calculate time zone from its timezone
14:40:09 |c|+Flurbel|lol
14:40:14 |c|$TimeZone|lmao 
14:40:17 |c|+Flurbel|I feel it
14:40:27 |c|+Flurbel|the call me lucario 2.0
14:40:37 |c|&chari**zard**8888|We all have different TimeZone s
14:40:57 |c|#Snaquaza|!u TimeZone
14:40:57 |html|<div class="infobox"><b>TimeZone:</b> The Timezone is when two people like each other, but hesitate to take the next step, because one of them is not ready to start an official relationship. The person who wants a serious (or official) relationship therefore is stuck in the &quot;Timezone&quot;. The timezone may last for a few days to a few years, and within that time the two people either come together or split.</div>
14:41:03 |c|$TimeZone|nah we all have the same, because the world isnt round it's flat o;
14:41:06 |c|$TimeZone|>scolds me
14:41:13 |c|&chari**zard**8888|tru dat
14:41:21 |c|+Flurbel|!u flurbel
14:41:21 |html|<div class="infobox">No results for <b>"flurbel"</b>.</div>
14:41:24 |c|+Flurbel|rip
14:41:27 |c|$TimeZone|Lol
14:41:29 |raw|<div class='chat'><small>+</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsdd.png" title="feelsdd" width="50" height="50" /></em></div>
14:41:34 |c|&chari**zard**8888|:C
14:41:47 |c|#Snaquaza|!u flur
14:41:47 |html|<div class="infobox"><b>flur:</b> [Gay], [Stupid], [Lame]. Way nicer to say than &quot;[retarted]&quot;</div>
14:41:52 |c|$TimeZone|Lmaoo
14:41:56 |c|+Flurbel|welp
14:41:59 |c|+Flurbel|fuck me
14:42:08 |c|+Flurbel|!u Flurbel
14:42:08 |html|<div class="infobox">No results for <b>"Flurbel"</b>.</div>
14:42:12 |c|+Flurbel|rip again
14:42:15 |c|$TimeZone|!u Time
14:42:16 |html|<div class="infobox"><b>time:</b> Nature&apos;s way of keeping everything from happening all at once.</div>
14:42:16 |raw|<div class='chat'><small>+</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsdd.png" title="feelsdd" width="50" height="50" /></em></div>
14:42:20 |c|$TimeZone|;)
14:42:26 |c|+Flurbel|!u zone
14:42:27 |html|<div class="infobox"><b>zone:</b> a zone is an ounce</div>
14:42:27 |c|$TimeZone|!u zone
14:42:27 |html|<div class="infobox"><b>zone:</b> a zone is an ounce</div>
14:42:30 |c|+Flurbel|lol
14:42:31 |c|$TimeZone|lmao
14:42:33 |c|&chari**zard**8888|-Sniped
14:42:33 |html|<div class="infobox"><img src="https://lh3.googleusercontent.com/-1zMQsoHc028/WALZtsfI5ZI/AAAAAAAAA5A/wt5L7dD6l0YlAYXRCzlS39F1_5c3weeLACJoC/w500-h348-p-rw/Sniped%2B%2527Im%2BEyy.jpg" width="500" height="348"></div>
14:42:36 |c|+Flurbel|wut
14:42:36 |c|&chari**zard**8888|:J
14:42:44 |c|$TimeZone|Rof 
14:42:44 |c|+Flurbel|it says ? for me
14:42:51 |c|+Flurbel|!u batter
14:42:52 |html|<div class="infobox"><b>batter:</b> to violently beat the shit out of someone</div>
14:42:55 |c|&chari**zard**8888|lol
14:42:59 |c|#Snaquaza|+feelsspandan
14:42:59 |c|*OutrageousBoT|!showimage http://lh5.googleusercontent.com/-HVSvfFCTshE/AAAAAAAAAAI/AAAAAAAAAUE/dzDQssZOWzs/photo.jpg,250,250
14:42:59 |raw|<img src="http:&#x2f;&#x2f;lh5.googleusercontent.com&#x2f;-HVSvfFCTshE&#x2f;AAAAAAAAAAI&#x2f;AAAAAAAAAUE&#x2f;dzDQssZOWzs&#x2f;photo.jpg" style="width: 250px; height: 250px" />
14:43:00 |c|+Flurbel|!u botto
14:43:00 |html|<div class="infobox"><b>botto:</b> In Italy a BOTTO is a joint</div>
14:43:01 |c|&chari**zard**8888|!u botto
14:43:01 |html|<div class="infobox"><b>botto:</b> In Italy a BOTTO is a joint</div>
14:43:04 |c|&chari**zard**8888|dem lel
14:43:05 |c|+Flurbel|haha
14:43:10 |c|$TimeZone|oh shit 
14:43:17 |c|$TimeZone|They smoke joints in Italy
14:43:19 |c|+Flurbel|thats a cute craeture
14:43:19 |c|$TimeZone|O;
14:43:27 |c|+Flurbel|I like the dog 2
14:43:58 |c|+Flurbel|!u shit
14:43:59 |html|<div class="infobox"><b>shit:</b> 1. One of the most popular swear&#x2f;cuss&#x2f;curse words&#x2f;profanities<br /><br />2. another word Feces. Poop. Dookie. Scheisse. Poo Poo. Brownies.<br /><br />The Shit List:<br /><br />The Ghost Shit <br />The kind where you feel shit come out, see shit on the toilet paper, but there&apos;s no shit in the bowl. <br /><br />The Clean Shit <br />The kind where you feel shit come o...</div>
14:44:07 |c|+Flurbel|thnc
14:44:10 |c|+Flurbel|thnx
14:44:16 |c|+Flurbel|didnt know this
14:44:24 |j| Light of Pyro
14:44:24 |c|+Flurbel|a nice dookie
14:45:01 |c|&chari**zard**8888|-cc
14:45:01 |c|*BatterBotto|Custom Commands: commandname| credits| idc| jk| punish| hi| hungry| bored| sniped| onixpected| mudkipz| pokepuns| learnfly| xD| plan
14:45:09 |c|$TimeZone|o;
14:45:19 |c|+Flurbel|-hi
14:45:24 |c|+Flurbel|ok
14:45:25 |c|&chari**zard**8888|-hi Flurbel
14:45:26 |c|*BatterBotto|hi Flurbel
14:45:26 |c|*BatterBotto|how are you doin Flurbel
14:45:26 |c|*BatterBotto|you better be doing good Flurbel
14:45:26 |c|*BatterBotto|test filler 1 FlurbelFlurbelFlurbelFlurbelFlurbel
14:45:27 |c|*BatterBotto|#filler 2 Flurbel
14:45:27 |c|*BatterBotto|#filler 3 Flurbel
14:45:30 |c|&chari**zard**8888|/me flees
14:45:30 |c|*OutrageousBoT|/me used Mean Look on &chari**zard**8888
14:45:31 |c|+Flurbel|lol
14:45:38 |raw|<div class='chat'><small>&</small><button name='parseCommand' value='/user chari**zard**8888' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#AE830F'>chari**zard**8888:</font></b></button><em class='mine'>That bold <img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsgd.png" title="feelsgd" width="50" height="50" /></em></div>
14:45:43 |j| hdjnt
14:46:09 |c|+Flurbel|how can you get better avatars
14:46:15 |c|+Flurbel|i always use the maniac
14:46:22 |c|+Flurbel|but get bored of it
14:46:46 |c|&chari**zard**8888|Git an image and Snaquaza will set it as your custom avatar
14:46:51 |c|+Flurbel|ah
14:46:59 |l|&chari**zard**8888
14:47:09 |j|&chari**zard**8888
14:47:22 |j| evanempanada
14:47:31 |l| evanempanada
14:50:08 |c|$TimeZone|the maniac?
14:50:19 |c|$TimeZone|You the dude with Dino outfit ?
14:50:21 |c|$TimeZone|Lmao
14:50:30 |raw|<div class='chat'><small>&</small><button name='parseCommand' value='/user chari**zard**8888' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#AE830F'>chari**zard**8888:</font></b></button><em class='mine'><img src="https://cdn.betterttv.net/emote/554da1a289d53f2d12781907/2x" title="(ditto)" width="50" height="50" /></em></div>
14:50:50 |c|$TimeZone|you mean the dude with the Dino outfit *
14:50:53 |c|$TimeZone|o;
14:51:08 |c|$TimeZone|Type to fast for my own good
14:51:35 |l| hdjnt
14:54:01 |c|+Flurbel|yeah
14:54:17 |j| ggdaca
14:54:22 |c|+Flurbel|I think it is a substitute outfit
14:54:28 |c|+Flurbel|idk
14:54:37 |c|$TimeZone|oh shit I read snaq's !U timezone thing
14:54:40 |c|$TimeZone|The actual fuck
14:55:08 |c|+Flurbel|the time between kinda relationshi[
14:55:10 |c|+Flurbel|lol
14:55:10 |c|$TimeZone|that's pretty accurate on almost 
14:55:14 |c|$TimeZone|All relationship 
14:55:19 |c|$TimeZone|long disconnect *
14:55:25 |c|+Flurbel|oh shit
14:55:28 |c|$TimeZone|distant*
14:55:29 |l|+Flurbel
14:55:30 |c|$TimeZone|Lmao
14:55:42 |c| ggdaca|hello!
14:56:02 |c|$TimeZone|Herro 
14:56:17 |c| ggdaca|sup
14:56:17 |c|&chari**zard**8888|Hey
14:56:25 |c| ggdaca|sup to you too char
14:56:41 |c|&chari**zard**8888|Still writing Garchomp's 1v1 analysis
14:56:49 |c|$TimeZone|o;
14:57:17 |j|+Flurbel
14:57:20 |c| ggdaca|i thought u said u were almost finished yesterday lmao
14:57:33 |c|$TimeZone|He bluffs ;p
14:57:49 |c|&chari**zard**8888|Yeah rechecking it :p and lol TimeZone
14:58:06 |c|+Flurbel|1v1 analysis?
14:58:35 |c| ggdaca|writing it for what exactly?
14:58:38 |c| ggdaca|server forums??
14:58:50 |c| ggdaca|oh wait u guys dont have forums
14:59:22 |c|&chari**zard**8888|No Smogon Forums
14:59:59 |c|+Flurbel|does anyone of you play any rom hacks
15:00:03 |c|+Flurbel|ik wrong server
15:00:14 |c|$TimeZone|used to ;/
15:00:19 |c|$TimeZone|GBA ROM hacks at that 
15:00:19 |c|+Flurbel|man 
15:00:26 |c|+Flurbel|why'd you stop
15:00:31 |c|$TimeZone|bored
15:00:39 |c|+Flurbel|well
15:00:46 |c|+Flurbel|i have a suggestion
15:00:48 |c|+Flurbel|2 even
15:00:49 |c|$TimeZone|And I'm
15:00:53 |c|$TimeZone|Reality 
15:00:55 |c|$TimeZone|So
15:00:59 |c|$TimeZone|;)
15:01:15 |c|+Flurbel|wat?
15:02:31 |c|+Flurbel|anyway
15:02:39 |c|+Flurbel|https://www.pokecommunity.com/showthread.php?t=343829
15:02:42 |c|+Flurbel|this 1 is goof
15:02:44 |c|+Flurbel|d
15:02:49 |c|$TimeZone|I realized and or felt I was wasting time playing new roms after roms hacks.
15:03:01 |c|$TimeZone|it was getting boring at the same time too
15:03:03 |c|+Flurbel|this 1 is diffrent
15:03:03 |c|$TimeZone|;/
15:03:08 |c|+Flurbel|it is offensive
15:03:14 |c|+Flurbel|just look at the pokedex
15:03:19 |c| ggdaca|why tf does tentacruel get clear body
15:03:22 |c|+Flurbel|arabomb
15:03:29 |c|+Flurbel|his body is clear
15:03:34 |c|$TimeZone|Because it's body is so clear bruh
15:03:37 |c|$TimeZone|It's banging 
15:03:39 |c|$TimeZone|;p
15:03:50 |c| ggdaca|last i checked its body is not clear
15:03:54 |c| ggdaca|trust me ive seen plenty
15:03:55 |c|+Flurbel|furnazi
15:03:56 |c|#Snaquaza|Well
15:03:59 |c|#Snaquaza|its clear that it has a body
15:04:03 |c|$TimeZone|^
15:04:03 |c|+Flurbel|true
15:04:03 |c|&chari**zard**8888|^
15:04:24 |c|&chari**zard**8888|~~Then every Pokemon should get Clear Body though~~
15:04:29 |c|#Snaquaza|!dt gastly
15:04:29 |c|~|/data-pokemon Gastly
|raw|<font size="1"><font color="#686868">Dex#:</font> 92&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 1&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.3 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 0.1 kg <em>(20 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Purple&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Amorphous&nbsp;|&ThickSpace;<font color="#686868">Evolution:</font> Haunter (25)</font>
15:04:30 |c|#Snaquaza|says hi
15:04:34 |c|&chari**zard**8888|lel
15:04:42 |c|&chari**zard**8888|Its venomous and clear 
15:04:43 |c| ggdaca|wait 100 spa.. wow
15:04:46 |c|&chari**zard**8888|Totally CLEAR
15:04:53 |c|+Flurbel|http://i.imgur.com/PRtoL6I.png
15:04:55 |c|+Flurbel|amazing
15:05:00 |c|#Snaquaza|!u flurb
15:05:00 |html|<div class="infobox"><b>flurb:</b> Noun. n. (Flerb) Any person, male or female, living or dead, that is either immensely disillusioned, or is so enamored with the concept of role play, that they will dress and make accessible to themselves all of the following; A) Clothing in excess of five pieces of garb, weighing more than a legal twenty five lbs., B) Stage make-up that completely hides their face and identity, C) Backgrounds and</div>
15:05:02 |c|$TimeZone|look at ditto lmao
15:05:05 |c|$TimeZone|And Muk and shit
15:05:06 |c|&chari**zard**8888|:O
15:05:10 |c|$TimeZone|"clear body"
15:05:10 |c|$TimeZone|Lol
15:05:11 |c|+Flurbel|gen 8 leaked
15:05:12 |c|+Flurbel|V
15:05:25 |c|&chari**zard**8888|!showimage http://i.imgur.com/PRtoL6I.jpg ,700,900
15:05:25 |raw|<img src="&#x2f;&#x2f;i.imgur.com&#x2f;PRtoL6I.jpg" style="width: 700px; height: 900px" />
15:05:26 |c|$TimeZone|Omg
15:05:30 |c|$TimeZone|That's a mouthful
15:05:40 |c|#Snaquaza|> ebolable
15:05:40 |c|+Flurbel|gen 8 confirmed
15:05:49 |c|&chari**zard**8888|Gen 8888 confurmed
15:05:49 |c|+Flurbel|I like kuklux
15:05:49 |c|&chari**zard**8888|:J
15:06:08 |c|#Snaquaza|> adesign
15:06:19 |c|+Flurbel|thnx snaq for the for the thing
15:06:24 |c|+Flurbel|im sometimes dead
15:06:25 |c| ggdaca|gimmie a nickname for solgaleo, (not nebby)
15:06:38 |c|#Snaquaza|!ytmusic https://www.youtube.com/watch?v=VFlZXlfda6Y
15:06:38 |html|<div class="infobox"><audio  style="width: 99.6%;border: 6px solid #F74823; color:green;" controls="" src="http://www.youtubeinmp3.com/fetch/?video=/www.youtube.com/watch?v=VFlZXlfda6Y" >Your user agent does not support the HTML5 Audio element.</audio></div>
15:06:44 |c| ggdaca|cuz i named my first one that
15:06:48 |c|$TimeZone|call it Simba
15:06:50 |c|$TimeZone|;)
15:06:55 |c|+Flurbel|call it shit
15:07:00 |c|+Flurbel|noh
15:07:06 |c|$TimeZone|Ouch 
15:07:09 |c|+Flurbel|call it asslion
15:07:14 |c|$TimeZone|Lol
15:07:25 |c| ggdaca|ill call it asslion
