00:01:43 |j| malphasmarx
15:58:31 |c|+UncleFlacco|more like anything but that goes
15:58:36 |c|@Flurbel|lol
15:58:55 |c|@Flurbel|the deoxys one is also very op
15:59:16 |c|+UncleFlacco|ultimate mind control
15:59:20 |c|@Flurbel|yep
15:59:29 |c|+UncleFlacco|even before reading the description it sounds powerful
15:59:41 |c|@Flurbel|yeah
15:59:43 |c|@Flurbel|200 bp
15:59:52 |c|@Flurbel|and can use it twice
15:59:58 |c|+UncleFlacco|twice, eh?
16:00:04 |c|@Flurbel|yup
16:00:31 |c|$Ludicrousity|Echo made an OP Z-Stone iirc
16:00:33 |c|+UncleFlacco|also why is the stone called deoxyium z?
16:00:40 |c|@Flurbel|cause
16:00:42 |c|@Flurbel|deoxys
16:00:44 |c|+UncleFlacco|that's such an awkward name to pronounce
16:00:55 |c|@Flurbel|eh
16:00:57 |c|@Flurbel|eheh
16:00:58 |c|%EchoGaia|actually flurbel
16:01:00 |c|+UncleFlacco|it's like those dumbass computers
16:01:00 |c|@Flurbel|yas
16:01:00 |c|%EchoGaia|i'm thinking
16:01:08 |c|%EchoGaia|would it be able to use it twice?
16:01:13 |c|@Flurbel|idk
16:01:17 |c|@Flurbel|haven't tested it
16:01:18 |c|@Flurbel|lol
16:01:29 |c|@Flurbel|i hate mewnium z
16:01:33 |c|@Flurbel|mewnium
16:01:40 |c|@Flurbel|stupid name
16:01:53 |c|+UncleFlacco|there's not much you can do with that though
16:01:59 |c|@Flurbel|mewium
16:02:02 |c|@Flurbel|nah
16:02:04 |c|@Flurbel|yeah true
16:02:09 |c|@Flurbel|same with deoxys
16:02:15 |c|+UncleFlacco|deoxium
16:02:18 |c|+UncleFlacco|that sounds fine
16:02:29 |c|@Flurbel|doesnt it have to be full name?
16:02:37 |c|@Flurbel|no
16:02:38 |c|+UncleFlacco|decidium
16:02:40 |c|@Flurbel|pikanium
16:02:41 |c|@Flurbel|yeah
16:02:52 |c|@Flurbel|huh
16:02:54 |c|+UncleFlacco|it just has to be close, that's all
16:02:55 |c|@Flurbel|welp
16:03:18 |j|%Winona
16:03:28 |c|@Flurbel|hey
16:04:02 |c|%Winona|Hi
16:04:27 |c|%Winona|!dt z-ransei, dhssb
16:04:27 |raw|<ul class="utilichart"><li class="result"><a data-entry="move|Z-Ransei"><span class="col movenamecol">Z-Ransei</span> <span class="col typecol"><img src="//play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" width="32" height="14"><img src="//play.pokemonshowdown.com/sprites/categories/Special.png" alt="Special" width="32" height="14"></span> <span class="col labelcol"><em>Power</em><br>300</span> <span class="col widelabelcol"><em>Accuracy</em><br>100%</span> <span class="col pplabelcol"><em>PP</em><br>10</span> <span class="col movedesccol">Mega evolves Ransei</span> </a></li><li style="clear:both"></li></ul>
|raw|<font size="1"><font color="#686868">Priority:</font> 1&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 0&nbsp;|&ThickSpace;&#10003; Bypasses Protect&nbsp;|&ThickSpace;&#10003; Bypasses Substitutes&nbsp;|&ThickSpace;&#10003; Z-Move&nbsp;|&ThickSpace;<font color="#686868">Z-Crystal:</font> Ransium Z&nbsp;|&ThickSpace;<font color="#686868">User:</font> Rayquaza&nbsp;|&ThickSpace;<font color="#686868">Required Move:</font> Legend's Ambition&nbsp;|&ThickSpace;<font color="#686868">Target:</font> All Adjacent Opponents</font>
16:04:32 |c|%Winona|GUD
16:04:41 |c|+UncleFlacco|300?
16:04:44 |c|+UncleFlacco|uhhhh
16:04:47 |c|@Flurbel|seems legit
16:05:27 |c|+UncleFlacco|what is mega ransei though?
16:05:41 |raw|<div class='chat'><small>@</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/oshet.png" title="oshet" width="50" height="50" /></em></div>
16:05:51 |c|@Flurbel|:-O
16:05:58 |c|@Flurbel|you dont know ransei?
16:06:14 |c|$Ludicrousity|lol
16:06:20 |c|+UncleFlacco|I don't know what mega ransei is
16:06:32 |c|+UncleFlacco|I know the arse of all jokes
16:06:32 |c|@Flurbel|it is ransei
16:06:35 |c|@Flurbel|but mega
16:06:41 |l| Spandan
16:06:42 |c|@Flurbel|not that hard
16:06:42 |c|+UncleFlacco|what are the stats?
16:06:56 |c|+UncleFlacco|that's kinda important
16:07:02 |c|@Flurbel|ransei/ransei/ransei/ransei/ransei/ransei
16:07:06 |c|+UncleFlacco|maybe ability too
16:07:07 |c|@Flurbel|if I'm not mistaken
16:07:26 |c|@Flurbel|!dt ransei, dhssb
16:07:26 |raw|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">Uber</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -40px -1230px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/arceus" target="_blank">Arceus</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Normal.png" alt="Normal" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Multitype</span><span class="col abilitycol"></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />120</span> <span class="col statcol"><em>Atk</em><br />120</span> <span class="col statcol"><em>Def</em><br />120</span> <span class="col statcol"><em>SpA</em><br />120</span> <span class="col statcol"><em>SpD</em><br />120</span> <span class="col statcol"><em>Spe</em><br />120</span> <span class="col bstcol"><em>BST<br />720</em></span> </span></li><li style="clear:both"></li></ul></div>
|raw|<font size="1"><font color="#686868">Dex#:</font> 493&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 4&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 3.2 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 320 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> White&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Undiscovered&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:07:41 |c|@Flurbel|!dt flurbel, dsshb
16:07:41 No Pokémon, item, move, ability or nature named 'flurbel' was found. Showing the data of 'Furret' instead.
|raw|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">New</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -240px -390px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/furret" target="_blank">Furret</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Normal.png" alt="Normal" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col twoabilitycol">Run Away<br />Keen Eye</span><span class="col abilitycol"><em>Frisk</em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />85</span> <span class="col statcol"><em>Atk</em><br />76</span> <span class="col statcol"><em>Def</em><br />64</span> <span class="col statcol"><em>SpA</em><br />45</span> <span class="col statcol"><em>SpD</em><br />55</span> <span class="col statcol"><em>Spe</em><br />90</span> <span class="col bstcol"><em>BST<br />415</em></span> </span></li><li style="clear:both"></li></ul></div>
|raw|<font size="1"><font color="#686868">Dex#:</font> 162&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 2&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.8 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 32.5 kg <em>(60 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Brown&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Field&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:07:48 |c|+UncleFlacco|legit
16:07:53 |c|@Flurbel|woops
16:08:00 |c|@Flurbel|!dt flurbel, dhssb
16:08:00 No Pokémon, item, move, ability or nature named 'flurbel' was found. Showing the data of 'Furret' instead.
|raw|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">New</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -240px -390px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/furret" target="_blank">Furret</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Normal.png" alt="Normal" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col twoabilitycol">Run Away<br />Keen Eye</span><span class="col abilitycol"><em>Frisk</em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />85</span> <span class="col statcol"><em>Atk</em><br />76</span> <span class="col statcol"><em>Def</em><br />64</span> <span class="col statcol"><em>SpA</em><br />45</span> <span class="col statcol"><em>SpD</em><br />55</span> <span class="col statcol"><em>Spe</em><br />90</span> <span class="col bstcol"><em>BST<br />415</em></span> </span></li><li style="clear:both"></li></ul></div>
|raw|<font size="1"><font color="#686868">Dex#:</font> 162&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 2&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.8 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 32.5 kg <em>(60 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Brown&nbsp;|&ThickSpace;<font color="#686868">Egg Group(s):</font> Field&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:08:06 |raw|<div class='chat'><small>@</small><button name='parseCommand' value='/user Flurbel' style='background:none;border:0;padding:0 5px 0 0;font-family:Verdana,Helvetica,Arial,sans-serif;font-size:9pt;cursor:pointer'><b><font color='#4A7826'>Flurbel:</font></b></button><em class='mine'><img src="https://cdn.rawgit.com/CreaturePhil/dem-feels/master/emotes/feelsdd.png" title="feelsdd" width="50" height="50" /></em></div>
16:09:34 |c|$Ludicrousity|How do I get into SSBDH?
16:09:48 |c|@Flurbel|ask spandan
16:09:54 |c|$Ludicrousity|fuuuu
16:10:00 |c|@Flurbel|you are global voice
16:10:03 |c|@Flurbel|so prob can
16:10:30 |c|$Ludicrousity|:3
16:11:07 |c|+UncleFlacco|ugh ff doesn't fully work with the bot
16:11:57 |j| TylerWithNumbers
16:12:11 |c|$Ludicrousity|We know
16:12:23 |c|+UncleFlacco|oh I didn't
16:12:51 |c|+UncleFlacco|anyways, who wants to ff?
16:12:59 |c|$Ludicrousity|sure
16:13:06 |c|+UncleFlacco|I wanna know how bad at building I am
16:13:09 |c|$Ludicrousity|lol
16:13:12 |c|@Flurbel|Srry echo
16:13:20 |c|@Flurbel|Wifi died
16:13:24 |j| SoyYT
16:14:17 |l| TylerWithNumbers
16:16:39 |c|@Flurbel|Uncle 
16:16:47 |c|+UncleFlacco|yes?
16:16:48 |c|@Flurbel|I can in like a few min
16:16:55 |c|+UncleFlacco|ok cool
16:17:22 |c|@Flurbel|Nevermind srry
16:17:38 |c|@Flurbel|Have to go in like 2 min
16:17:42 |c|+UncleFlacco|rip
16:17:52 |c|@Flurbel|Sawy
16:18:15 |j| USukAndNo1LikesU
16:18:40 |raw|<strong><font color="#830278">~~ Flurbel ಠ_ಠ ~~</font></strong>
16:18:40 |l|@Flurbel
16:31:05 |j| ZardX8888
16:31:36 |n|~charizard8888|zardx8888
16:31:38 |n| charizard8888|charizard8888
16:32:32 |l|%Winona
16:33:42 |l| SoyYT
16:33:51 |l| USukAndNo1LikesU
16:34:49 |j|@Flurbel
16:36:20 |c|$Ludicrousity|oh
16:36:23 |c|$Ludicrousity|Zard is here
16:36:24 |c|$Ludicrousity|kewl
16:36:43 |c| charizard8888|:]
16:36:52 |c|$Ludicrousity|!fuse beedrill, kartana, shiny
16:36:52 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">New</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -120px -30px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/beedrill" target="_blank">Beedrill</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Bug.png" alt="Bug" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Swarm</span><span class="col twoabilitycol"><em>Sniper<br /><b>Beast Boost</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />62</span> <span class="col statcol"><em>Atk</em><br />135</span> <span class="col statcol"><em>Def</em><br />85</span> <span class="col statcol"><em>SpA</em><br />52</span> <span class="col statcol"><em>SpD</em><br />55</span> <span class="col statcol"><em>Spe</em><br />92</span> <span class="col bstcol"><em>BST<br />481</em></span> </span></li><li style="clear:both"></li></ul></div>
16:36:52 |raw|<font size="1"><font color="#686868">Dex#:</font> 15&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 1&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 14.8 kg <em>(40 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Yellow&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:37:06 |c|$Ludicrousity|and that's **before** mega
16:37:18 |c|+UncleFlacco|please tell me that's banana'd
16:37:30 |c|@Flurbel|!fuse beedrill-mega, kartana
16:37:30 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -160px -2430px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/beedrillmega" target="_blank">Beedrill-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Bug.png" alt="Bug" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Grass.png" alt="Grass" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Adaptability</span><span class="col twoabilitycol"><em>undefined<br /><b>Beast Boost</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />62</span> <span class="col statcol"><em>Atk</em><br />165</span> <span class="col statcol"><em>Def</em><br />85</span> <span class="col statcol"><em>SpA</em><br />37</span> <span class="col statcol"><em>SpD</em><br />55</span> <span class="col statcol"><em>Spe</em><br />127</span> <span class="col bstcol"><em>BST<br />531</em></span> </span></li><li style="clear:both"></li></ul></div>
16:37:30 |raw|<font size="1"><font color="#686868">Dex#:</font> 15&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.4 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 20.3 kg <em>(40 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Yellow&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:37:33 |c|@Flurbel|and after
16:37:40 |c|$Ludicrousity|Bug / Grass tho
16:37:44 |c|@Flurbel|yeah
16:37:52 |c|@Flurbel|to much typinh
16:37:52 |c|+UncleFlacco|shiny
16:37:58 |c|$Ludicrousity|dies to Aerilate, and SR
16:37:58 |c|@Flurbel|yeah
16:38:14 |c|$Ludicrousity|wait
16:38:17 |c|$Ludicrousity|noooo
16:38:25 |c|$Ludicrousity|I have 2 Kartanas on my team :(
16:38:32 |c|@Flurbel|rip
16:38:48 |c|$Ludicrousity|!fuse Kyurem-Black, Kartana, Shiny
16:38:48 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">BL</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -360px -2160px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/kyuremblack" target="_blank">Kyurem-Black</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Teravolt</span><span class="col twoabilitycol"><em>undefined<br /><b>Beast Boost</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />92</span> <span class="col statcol"><em>Atk</em><br />175</span> <span class="col statcol"><em>Def</em><br />115</span> <span class="col statcol"><em>SpA</em><br />89</span> <span class="col statcol"><em>SpD</em><br />60</span> <span class="col statcol"><em>Spe</em><br />102</span> <span class="col bstcol"><em>BST<br />633</em></span> </span></li><li style="clear:both"></li></ul></div>
16:38:48 |raw|<font size="1"><font color="#686868">Dex#:</font> 646&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 5&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 3.3 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 162.55 kg <em>(100 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Gray&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:39:10 |c|+UncleFlacco|that thing's stats would be 62/185/85/12/55/162 after mega evolving
16:39:23 |c|+UncleFlacco|it's worth sacrificing the other kartana for it
16:39:42 |c|$Ludicrousity|!fuse Kyurem, Rampardos
16:39:42 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">BL2</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -400px -1590px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/kyurem" target="_blank">Kyurem</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Rock.png" alt="Rock" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Pressure</span><span class="col twoabilitycol"><em>undefined<br /><b>Mold Breaker</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />111</span> <span class="col statcol"><em>Atk</em><br />147</span> <span class="col statcol"><em>Def</em><br />75</span> <span class="col statcol"><em>SpA</em><br />97</span> <span class="col statcol"><em>SpD</em><br />70</span> <span class="col statcol"><em>Spe</em><br />76</span> <span class="col bstcol"><em>BST<br />576</em></span> </span></li><li style="clear:both"></li></ul></div>
16:39:42 |raw|<font size="1"><font color="#686868">Dex#:</font> 646&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 5&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 3 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 213.75 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Gray&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:39:42 |c|@Flurbel|btw
16:39:42 |c|$Ludicrousity|lol
16:39:46 |c|@Flurbel|it is like this
16:39:54 |c|@Flurbel|!fuse beedrill-mega, kartana
16:39:54 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">OU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -160px -2430px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/beedrillmega" target="_blank">Beedrill-Mega</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Bug.png" alt="Bug" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Grass.png" alt="Grass" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Adaptability</span><span class="col twoabilitycol"><em>undefined<br /><b>Beast Boost</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />62</span> <span class="col statcol"><em>Atk</em><br />165</span> <span class="col statcol"><em>Def</em><br />85</span> <span class="col statcol"><em>SpA</em><br />37</span> <span class="col statcol"><em>SpD</em><br />55</span> <span class="col statcol"><em>Spe</em><br />127</span> <span class="col bstcol"><em>BST<br />531</em></span> </span></li><li style="clear:both"></li></ul></div>
16:39:54 |raw|<font size="1"><font color="#686868">Dex#:</font> 15&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 6&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.4 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 20.3 kg <em>(40 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Yellow&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:39:55 |c|$Ludicrousity|!fuse Kyurem-black, Rampardos
16:39:55 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">BL</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -360px -2160px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/kyuremblack" target="_blank">Kyurem-Black</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Rock.png" alt="Rock" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Teravolt</span><span class="col twoabilitycol"><em>undefined<br /><b>Mold Breaker</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />111</span> <span class="col statcol"><em>Atk</em><br />167</span> <span class="col statcol"><em>Def</em><br />80</span> <span class="col statcol"><em>SpA</em><br />92</span> <span class="col statcol"><em>SpD</em><br />70</span> <span class="col statcol"><em>Spe</em><br />76</span> <span class="col bstcol"><em>BST<br />596</em></span> </span></li><li style="clear:both"></li></ul></div>
16:39:55 |raw|<font size="1"><font color="#686868">Dex#:</font> 646&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 5&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 3.3 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 213.75 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Gray&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:40:14 |c|$Ludicrousity|no? That equals the stats of the mega form and the mon?
16:40:20 |c|@Flurbel|yeah
16:40:22 |c|@Flurbel|cause that is
16:40:29 |c|@Flurbel|i doesn't work properly
16:40:33 |c|$Ludicrousity|It gains the stat boosts?
16:40:34 |c|@Flurbel|its bugged
16:40:36 |c|+UncleFlacco|The resultant Pokemon will get the same stat boosts which Charizard gets upon mega evolving and all the abilities will turn into the one which it gets after Mega evolving (that is Tough Claws) 
16:40:36 |c|$Ludicrousity|!om ff
16:40:36 |html|<div class="infobox">&bullet; <a href=https://github.com/XpRienzo/DragonHeaven/blob/master/mods/franticfusions/README.md>Frantic Fusions</a> <br> &bullet; A metagame where you are able to fuse two Pokemon. <BR /> &bullet; The resultant Pokemon has the primary type of the base mon. If the base mon is shiny, it will get the secondary type of the second mon, else the primary type of the second mon. It will get the averaged stats.<br />&bullet;You can choose any ability from the original Pokemon, and you also get the primary ability of the second Pokemon (The one you put in the nickname). <br />&bullet; Use !fuse for theorymonning purposes</div>
16:40:53 |c|$Ludicrousity|ye
16:41:05 |c|$Ludicrousity|So it gets adaptability and OP stats lol
16:41:24 |j|%flufi
16:41:24 |c|*BatterBotto|!dt fluffy
16:41:31 |l|%flufi
16:41:38 |c|$Ludicrousity|Damnit Flufi
16:41:41 |c|$Ludicrousity|+slap Flufi
16:41:41 |c|*OutrageousBoT|Ludicrousity slapped Flufi!
16:41:55 |c|$Ludicrousity|!fuse Metagross, Kyurem
16:41:55 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">UU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -160px -930px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/metagross" target="_blank">Metagross</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Clear Body</span><span class="col twoabilitycol"><em>Light Metal<br /><b>Pressure</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />102</span> <span class="col statcol"><em>Atk</em><br />132</span> <span class="col statcol"><em>Def</em><br />110</span> <span class="col statcol"><em>SpA</em><br />112</span> <span class="col statcol"><em>SpD</em><br />90</span> <span class="col statcol"><em>Spe</em><br />82</span> <span class="col bstcol"><em>BST<br />628</em></span> </span></li><li style="clear:both"></li></ul></div>
16:41:55 |raw|<font size="1"><font color="#686868">Dex#:</font> 376&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 3&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.6 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 437.5 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:41:57 |c|$Ludicrousity|thoughts?
16:42:06 |c|$Ludicrousity|!fuse Metagross, Kyurem-black
16:42:06 |html|<div class="message"><ul class="utilichart"><li class="result"><span class="col numcol">UU</span> <span class="col iconcol"><span style="background:transparent url(https://play.pokemonshowdown.com/sprites/smicons-sheet.png?a1) no-repeat scroll -160px -930px"></span></span> <span class="col pokemonnamecol" style="white-space:nowrap"><a href="https://pokemonshowdown.com/dex/pokemon/metagross" target="_blank">Metagross</a></span> <span class="col typecol"><img src="https://play.pokemonshowdown.com/sprites/types/Steel.png" alt="Steel" height="14" width="32"><img src="https://play.pokemonshowdown.com/sprites/types/Dragon.png" alt="Dragon" height="14" width="32"></span> <span style="float:left;min-height:26px"><span class="col abilitycol">Clear Body</span><span class="col twoabilitycol"><em>Light Metal<br /><b>Teravolt</b></em></span></span><span style="float:left;min-height:26px"><span class="col statcol"><em>HP</em><br />102</span> <span class="col statcol"><em>Atk</em><br />152</span> <span class="col statcol"><em>Def</em><br />115</span> <span class="col statcol"><em>SpA</em><br />107</span> <span class="col statcol"><em>SpD</em><br />90</span> <span class="col statcol"><em>Spe</em><br />82</span> <span class="col bstcol"><em>BST<br />648</em></span> </span></li><li style="clear:both"></li></ul></div>
16:42:06 |raw|<font size="1"><font color="#686868">Dex#:</font> 376&nbsp;|&ThickSpace;<font color="#686868">Gen:</font> 3&nbsp;|&ThickSpace;<font color="#686868">Height:</font> 1.6 m&nbsp;|&ThickSpace;<font color="#686868">Weight:</font> 437.5 kg <em>(120 BP)</em>&nbsp;|&ThickSpace;<font color="#686868">Dex Colour:</font> Blue&nbsp;|&ThickSpace;<font color="#686868">Does Not Evolve</font></font>
16:42:06 |c|$Ludicrousity|*
16:43:04 |c|@Flurbel|nice typing
16:43:46 |c|$Ludicrousity|:(
16:43:53 |c|$Ludicrousity|Kyu-B can't learn Bolt Strike :(
16:44:21 |c|+UncleFlacco|it learns fusion bolt though
16:44:24 |c|$Ludicrousity|ye
16:45:18 |c|$Ludicrousity|want another battle?
16:45:21 |c|$Ludicrousity|Final one 
